EEMMM,FECHA_DEF_CT,INTUBADO_CT,NEUMONIA_CT,EMBARAZO_CT,HABLA_LENGUA_INDIG_CT,DIABETES_CT,EPOC_CT,ASMA_CT,INMUSUPR_CT,HIPERTENSION_CT,OTRA_COM_CT,CARDIOVASCULAR_CT,OBESIDAD_CT,RENAL_CRONICA_CT,TABAQUISMO_CT,OTRO_CASO_CT,RESULTADO_POS,RESULTADO_NEG,RESULTADO_PDT,MUJERES_CT,HOMBRES_CT,LONGITUD,LATITUD,NOM_ENT,NOM_MUN
20566,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-97.382165682089,16.78047898393935,Oaxaca,San Mateo Yucutindoo
20570,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,-97.03469361830977,16.78024514932759,Oaxaca,Zimatlán de Álvarez
21001,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,-97.93982646381401,19.10330130400199,Puebla,Acajete
21002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.2298041268026,20.10915352352434,Puebla,Acateno
21003,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,-98.1064025963652,18.15893293751791,Puebla,Acatlán
21004,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,-97.76498324161803,19.02611094045633,Puebla,Acatzingo
21006,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-97.86768292164066,20.02695065498486,Puebla,Ahuacatlán
21008,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,-98.13362285974237,20.06116357810807,Puebla,Ahuazotepec
21015,0,0,3,0,0,2,1,1,0,1,0,0,5,1,1,5,4,7,4,1,3,-98.05499676471226,19.04832022037851,Puebla,Amozoc
21019,4,1,7,1,0,3,1,1,1,5,3,0,6,1,1,5,9,12,3,5,4,-98.45229219561871,18.89906991365282,Puebla,Atlixco
21022,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-98.6077720901356,18.82308045140424,Puebla,Atzitzihuacán
21025,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-97.40878099461975,20.08398985994977,Puebla,Ayotoxco de Guerrero
21034,1,0,1,0,0,1,0,0,0,1,0,0,3,0,1,2,4,3,1,1,3,-98.29174546141351,19.13523474564145,Puebla,Coronango
21035,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-97.11723316742321,18.24559359214059,Puebla,Coxcatlán
21037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-97.8129542371894,18.401325059799,Puebla,Coyotepec
21041,1,0,2,0,0,0,0,1,2,5,2,1,4,1,2,8,3,14,4,2,1,-98.25607680643641,19.11671771938833,Puebla,Cuautlancingo
21043,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,4,0,1,0,-97.50058147899733,20.02798345647255,Puebla,Cuetzalan del Progreso
21045,0,1,2,0,0,2,1,0,0,0,1,1,2,0,1,3,1,4,0,1,0,-97.42970984314827,18.97734204233628,Puebla,Chalchicomula de Sesma
21046,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-97.40363987481439,18.63964054256351,Puebla,Chapulco
21047,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,2,3,2,1,1,-98.60061967180428,18.27649589333848,Puebla,Chiautla
21048,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,1,0,1,-98.51334297332194,19.19560226195442,Puebla,Chiautzingo
21049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.96598298068695,20.08875464138362,Puebla,Chiconcuautla
21050,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,-97.07008616869224,19.20472403482616,Puebla,Chichiquila
21051,0,0,1,0,0,2,0,0,0,2,1,0,1,0,0,4,3,4,0,2,1,-98.62590948788572,18.51036719383812,Puebla,Chietla
21053,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,1,-98.134743671628,19.82102187567162,Puebla,Chignahuapan
21054,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-97.43655727473211,19.73555900693131,Puebla,Chignautla
21056,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,-98.47000980694791,18.13955578630311,Puebla,Chila de la Sal
21057,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-98.23887754523987,20.26015974789933,Puebla,Honey
21059,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-98.27958707618234,18.23293093871679,Puebla,Chinantla
21063,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-97.36462519694496,18.85903205426244,Puebla,Esperanza
21069,0,0,3,1,0,1,0,0,0,3,0,0,3,0,2,1,3,1,1,2,1,-98.51717404995443,18.76928624823966,Puebla,Huaquechula
21070,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-98.06784484289153,18.68378749800595,Puebla,Huatlatlauca
21071,0,2,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,7,1,0,0,-98.05173534058562,20.16621141420964,Puebla,Huauchinango
21072,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,-97.61947125965379,20.101530128328,Puebla,Huehuetla
